from_postcode,B152TH,B714HJ,B95SS,BA13NG,BA214AT,BB23HH,BD96RJ,BH77DW,BL97TD,BN112DH,BN212UD,BN25BE,BR68ND,BS105NB,BS234TQ,BS28HW,CA27HY,CB20QQ,CF144XW,CF311RQ,CF479DT,CH21UL,CH495PE,CM17ET,CO45JL,CT13NG,CT94AN,CV107DJ,CV22DX,CV345BW,CW14QJ,DA28DA,DE223NE,DH15TW,DN157BH,DN25LT,DT12JY,DY12HQ,E11BB,EX25DW,EX314JB,FY38NR,GL13NN,GU167UJ,HA13UJ,HP112TT,HR12ER,HU32JZ,HX30PW,IP332QZ,IP45PD,KT160PZ,KT187EG,L355DR,L78XP,L97AL,LA144LF,LA14RP,LE15WW,LL137TD,LL185UJ,LL572PW,LN25QY,LS13EX,LU40DZ,M68HD,ME169QQ,MK429DJ,MK65LD,NE14LP,NE236NZ,NG174JL,NG72UH,NN15BD,NP448YN,NR316LA,NR47UY,NW12BU,OX39DU,PE304ET,PE39GZ,PL68DH,PO196SE,PO305TG,PO63LY,PR29HT,PR86PN,RG15AN,RH15RH,RH164EX,RM70AG,S102JF,S445BL,S752EP,SA148QF,SA312AF,SA612PZ,SA66NL,SE59RW,SG14AB,SK27JE,SL24HL,SN36BB,SO166YD,SO225DG,SP28BJ,SR47TP,SS00RY,SS165NL,ST46QG,SW170QT,SW66SX,SY231ER,TA15DA,TF16TF,TN240LZ,TQ27AA,TR13LQ,TS198PE,TS43BW,WD180HB,WF14DG,WR51DD,WV100QP,YO318HE
B152TH,0.0,18.7,18.7,107.8,155.1,117.5,135.8,173.3,106.8,176.6,192.7,178.7,160.5,92.8,111.1,91.7,193.8,122.9,116.4,131.5,115.3,103.5,108.9,156.2,178.7,191.6,210.9,40.2,42.3,40.2,70.2,149.7,60.6,199.1,128.2,107.8,176.6,24.1,140.0,158.3,181.9,131.5,61.6,128.2,119.6,96.0,72.4,147.6,125.0,148.6,178.7,119.6,133.6,97.1,104.6,103.5,178.7,133.6,58.4,91.7,130.4,164.8,114.3,131.5,93.9,97.1,165.8,94.9,83.1,213.1,222.7,79.9,69.2,72.4,106.8,208.8,180.9,130.4,81.0,141.1,102.5,203.4,178.7,249.6,162.6,115.3,115.3,117.5,143.3,165.8,143.3,104.6,88.5,111.1,155.1,171.2,203.4,146.5,141.1,116.4,96.0,110.0,91.7,149.7,136.8,145.4,208.8,160.5,148.6,55.2,141.1,128.2,146.5,132.5,46.6,184.1,176.6,256.0,191.6,187.3,114.3,122.9,36.9,29.4,148.6
B714HJ,18.7,0.0,24.1,106.8,154.0,110.0,128.2,179.8,98.2,183.0,199.1,185.2,160.5,91.7,110.0,91.7,186.2,119.6,116.4,131.5,114.3,96.0,101.4,152.9,176.6,189.5,207.7,36.9,39.1,47.7,62.7,146.5,55.2,197.0,125.0,104.6,175.5,18.7,137.9,157.2,180.9,123.9,60.6,134.7,119.6,102.5,71.3,145.4,117.5,145.4,175.5,126.1,140.0,89.6,97.1,96.0,170.1,126.1,56.3,84.2,121.8,157.2,111.1,129.3,91.7,89.6,166.9,91.7,81.0,209.9,219.5,77.8,65.9,69.2,105.7,205.6,178.7,129.3,87.4,139.0,99.2,202.3,185.2,256.0,169.0,107.8,107.8,123.9,149.7,172.3,140.0,101.4,86.4,107.8,154.0,171.2,202.3,145.4,141.1,113.2,88.5,116.4,90.6,156.2,143.3,144.3,205.6,158.3,145.4,47.7,148.6,134.7,139.0,131.5,39.1,184.1,176.6,255.0,188.4,184.1,111.1,119.6,35.9,21.9,145.4
B95SS,19.8,23.0,0.0,115.3,162.6,117.5,131.5,172.3,105.7,175.5,192.7,177.6,152.9,99.2,117.5,99.2,193.8,112.1,123.9,139.0,122.9,103.5,108.9,145.4,169.0,181.9,200.2,29.4,31.6,40.2,70.2,139.0,48.8,189.5,117.5,97.1,184.1,32.6,130.4,165.8,189.5,131.5,69.2,127.2,112.1,96.0,79.9,136.8,125.0,137.9,168.0,118.6,132.5,97.1,104.6,103.5,177.6,133.6,48.8,91.7,129.3,164.8,103.5,121.8,84.2,97.1,159.4,84.2,73.5,202.3,212.0,70.2,58.4,61.6,114.3,198.0,170.1,121.8,81.0,130.4,91.7,209.9,177.6,248.5,161.5,115.3,115.3,116.4,142.2,164.8,132.5,93.9,78.8,100.3,162.6,178.7,210.9,154.0,133.6,105.7,96.0,110.0,99.2,148.6,136.8,152.9,198.0,150.8,137.9,55.2,140.0,127.2,146.5,140.0,46.6,176.6,184.1,263.6,180.9,176.6,103.5,112.1,44.5,29.4,137.9
BA13NG,107.8,106.8,115.3,0.0,62.7,204.5,223.8,94.9,193.8,146.5,181.9,166.9,149.7,33.7,59.5,27.3,281.8,171.2,67.0,82.1,91.7,190.5,195.9,170.1,192.7,184.1,203.4,126.1,128.2,110.0,158.3,149.7,149.7,288.3,217.4,197.0,87.4,107.8,139.0,107.8,130.4,218.5,61.6,103.5,119.6,104.6,94.9,236.7,213.1,201.3,214.2,107.8,122.9,184.1,192.7,191.6,265.7,220.6,144.3,178.7,217.4,251.7,203.4,220.6,132.5,185.2,155.1,141.1,123.9,302.2,311.9,169.0,158.3,129.3,57.4,261.4,233.5,130.4,91.7,212.0,174.4,151.9,122.9,193.8,106.8,202.3,203.4,86.4,131.5,155.1,156.2,193.8,177.6,200.2,113.2,130.4,161.5,104.6,134.7,140.0,184.1,103.5,48.8,90.6,91.7,65.9,297.9,174.4,162.6,142.2,135.8,120.7,172.3,82.1,134.7,172.3,126.1,204.5,280.7,276.4,123.9,212.0,82.1,117.5,237.8
BA214AT,155.1,154.0,162.6,62.7,0.0,252.8,271.1,72.4,241.0,146.5,181.9,165.8,162.6,74.5,61.6,65.9,329.1,192.7,108.9,123.9,133.6,238.9,244.2,191.6,214.2,198.0,216.3,173.3,175.5,157.2,205.6,162.6,197.0,336.6,264.6,244.2,31.6,155.1,160.5,64.9,91.7,266.8,108.9,108.9,140.0,135.8,136.8,285.0,260.3,222.7,235.6,120.7,135.8,232.4,239.9,238.9,313.0,268.9,192.7,227.0,264.6,300.1,251.7,268.9,154.0,232.4,168.0,175.5,170.1,349.5,359.1,217.4,205.6,176.6,99.2,282.9,255.0,151.9,136.8,243.2,214.2,108.9,123.9,194.8,107.8,250.7,250.7,117.5,144.3,168.0,176.6,241.0,226.0,247.4,155.1,172.3,203.4,146.5,156.2,161.5,231.3,132.5,97.1,91.7,92.8,67.0,345.2,192.7,179.8,190.5,148.6,142.2,214.2,42.3,181.9,186.2,83.1,161.5,328.0,323.7,145.4,259.3,130.4,164.8,285.0
BB23HH,117.5,110.0,117.5,204.5,251.7,0.0,56.3,274.3,35.9,277.5,294.7,279.7,255.0,189.5,207.7,189.5,105.7,213.1,214.2,229.2,212.0,69.2,64.9,246.4,270.0,282.9,301.2,130.4,132.5,141.1,70.2,239.9,112.1,128.2,113.2,98.2,273.2,115.3,231.3,255.0,278.6,43.4,158.3,230.3,213.1,198.0,169.0,120.7,59.5,238.9,268.9,220.6,235.6,48.8,55.2,46.6,89.6,44.5,145.4,81.0,96.0,130.4,137.9,70.2,185.2,41.2,260.3,185.2,174.4,142.2,151.9,113.2,126.1,163.7,203.4,272.2,241.0,222.7,183.0,199.1,183.0,300.1,280.7,350.6,263.6,26.2,48.8,218.5,244.2,267.9,233.5,89.6,105.7,83.1,251.7,224.9,261.4,243.2,234.6,207.7,54.1,212.0,189.5,250.7,238.9,242.1,136.8,251.7,238.9,76.7,242.1,229.2,175.5,229.2,118.6,277.5,274.3,352.7,125.0,120.7,204.5,75.6,133.6,107.8,100.3
BD96RJ,134.7,128.2,130.4,222.7,270.0,57.4,0.0,275.4,48.8,264.6,280.7,265.7,236.7,206.6,226.0,206.6,126.1,179.8,231.3,246.4,230.3,87.4,92.8,221.7,234.6,265.7,284.0,127.2,128.2,140.0,87.4,222.7,93.9,108.9,70.2,55.2,291.5,132.5,214.2,273.2,296.9,90.6,176.6,216.3,195.9,198.0,187.3,77.8,25.1,205.6,235.6,207.7,221.7,70.2,77.8,76.7,110.0,92.8,115.3,98.2,114.3,148.6,96.0,25.1,168.0,53.1,243.2,168.0,157.2,122.9,132.5,77.8,90.6,146.5,221.7,229.2,199.1,205.6,183.0,157.2,140.0,317.3,273.2,351.6,264.6,74.5,88.5,219.5,231.3,253.9,216.3,58.4,70.2,41.2,270.0,243.2,279.7,261.4,217.4,184.1,58.4,200.2,206.6,251.7,238.9,261.4,117.5,234.6,221.7,93.9,224.9,212.0,193.8,247.4,136.8,260.3,291.5,371.0,101.4,97.1,187.3,33.7,151.9,125.0,58.4
BH77DW,173.3,179.8,171.2,94.9,72.4,274.3,275.4,0.0,262.5,93.9,129.3,113.2,129.3,135.8,123.9,134.7,350.6,159.4,165.8,180.9,190.5,260.3,265.7,158.3,180.9,164.8,183.0,170.1,163.7,147.6,227.0,129.3,201.3,333.4,261.4,241.0,47.7,180.9,127.2,113.2,154.0,288.3,133.6,75.6,106.8,102.5,177.6,281.8,276.4,189.5,202.3,87.4,102.5,253.9,261.4,260.3,334.4,290.4,178.7,248.5,286.1,321.6,237.8,265.7,120.7,253.9,134.7,142.2,136.8,346.3,355.9,214.2,202.3,149.7,156.2,249.6,221.7,118.6,110.0,209.9,180.9,157.2,71.3,142.2,55.2,272.2,272.2,84.2,111.1,117.5,143.3,237.8,222.7,244.2,212.0,229.2,260.3,203.4,122.9,128.2,252.8,99.2,96.0,39.1,46.6,38.0,342.0,159.4,146.5,212.0,115.3,108.9,271.1,105.7,203.4,152.9,131.5,209.9,324.8,320.5,112.1,256.0,155.1,186.2,281.8
BL97TD,105.7,99.2,105.7,193.8,241.0,35.9,46.6,263.6,0.0,266.8,282.9,268.9,243.2,177.6,195.9,177.6,123.9,199.1,202.3,217.4,201.3,58.4,63.8,235.6,252.8,271.1,290.4,119.6,121.8,130.4,58.4,229.2,100.3,128.2,89.6,74.5,262.5,103.5,219.5,244.2,267.9,61.6,147.6,218.5,202.3,186.2,158.3,97.1,35.9,223.8,255.0,209.9,223.8,41.2,48.8,47.7,107.8,63.8,134.7,69.2,85.3,119.6,114.3,46.6,173.3,24.1,248.5,174.4,162.6,141.1,150.8,96.0,108.9,151.9,192.7,247.4,217.4,212.0,171.2,175.5,158.3,288.3,268.9,339.8,252.8,45.5,59.5,207.7,233.5,256.0,222.7,68.1,89.6,59.5,241.0,214.2,250.7,232.4,222.7,195.9,32.6,201.3,177.6,239.9,228.1,231.3,136.8,239.9,228.1,64.9,230.3,218.5,164.8,218.5,107.8,266.8,262.5,342.0,119.6,115.3,193.8,52.0,122.9,96.0,76.7
BN112DH,175.5,183.0,174.4,146.5,147.6,277.5,263.6,93.9,265.7,0.0,47.7,31.6,75.6,164.8,187.3,162.6,353.8,131.5,194.8,209.9,219.5,262.5,267.9,108.9,131.5,111.1,129.3,165.8,162.6,150.8,230.3,75.6,194.8,321.6,250.7,230.3,122.9,184.1,96.0,187.3,224.9,291.5,162.6,79.9,90.6,91.7,206.6,270.0,265.7,158.3,151.9,67.0,58.4,256.0,264.6,263.6,337.7,292.6,166.9,251.7,289.3,324.8,226.0,253.9,103.5,257.1,81.0,126.1,120.7,335.5,345.2,202.3,191.6,134.7,184.1,218.5,190.5,96.0,115.3,184.1,164.8,232.4,32.6,137.9,50.9,274.3,275.4,92.8,55.2,41.2,93.9,227.0,210.9,233.5,241.0,257.1,289.3,232.4,83.1,112.1,256.0,82.1,125.0,70.2,75.6,90.6,331.2,105.7,92.8,214.2,78.8,79.9,300.1,175.5,206.6,99.2,206.6,285.0,314.0,309.7,96.0,245.3,180.9,189.5,271.1
BN212UD,192.7,200.2,191.6,180.9,183.0,293.6,280.7,129.3,282.9,47.7,0.0,40.2,78.8,181.9,204.5,180.9,371.0,134.7,212.0,227.0,236.7,279.7,285.0,112.1,134.7,99.2,122.9,183.0,178.7,168.0,246.4,78.8,212.0,338.7,267.9,247.4,157.2,200.2,99.2,222.7,259.3,307.6,179.8,96.0,107.8,107.8,223.8,287.2,282.9,161.5,155.1,83.1,76.7,273.2,281.8,279.7,354.8,309.7,184.1,267.9,306.5,340.9,243.2,271.1,120.7,274.3,73.5,142.2,137.9,352.7,362.4,219.5,208.8,151.9,202.3,221.7,193.8,106.8,131.5,187.3,174.4,266.8,67.0,172.3,86.4,291.5,292.6,108.9,65.9,43.4,97.1,244.2,228.1,250.7,258.2,275.4,306.5,249.6,93.9,128.2,273.2,99.2,142.2,105.7,110.0,126.1,347.3,108.9,96.0,231.3,89.6,97.1,317.3,210.9,222.7,76.7,241.0,320.5,331.2,326.9,112.1,262.5,198.0,206.6,288.3
BN25BE,177.6,185.2,176.6,165.8,165.8,278.6,265.7,113.2,267.9,31.6,40.2,0.0,71.3,166.9,189.5,165.8,355.9,127.2,197.0,212.0,221.7,264.6,270.0,104.6,127.2,106.8,125.0,168.0,163.7,152.9,232.4,72.4,197.0,323.7,252.8,232.4,141.1,185.2,91.7,206.6,243.2,292.6,164.8,81.0,92.8,92.8,208.8,272.2,267.9,154.0,147.6,68.1,61.6,258.2,266.8,264.6,339.8,294.7,169.0,252.8,291.5,325.9,228.1,256.0,105.7,259.3,76.7,127.2,122.9,337.7,347.3,204.5,193.8,136.8,187.3,214.2,186.2,91.7,116.4,179.8,166.9,250.7,50.9,156.2,69.2,276.4,277.5,93.9,50.9,36.9,89.6,229.2,213.1,235.6,243.2,260.3,291.5,234.6,78.8,113.2,258.2,84.2,127.2,89.6,93.9,110.0,332.3,101.4,88.5,216.3,74.5,82.1,302.2,193.8,207.7,94.9,224.9,303.3,316.2,311.9,97.1,247.4,183.0,191.6,273.2
BR68ND,161.5,160.5,152.9,149.7,163.7,253.9,237.8,129.3,243.2,76.7,87.4,72.4,0.0,150.8,173.3,148.6,331.2,81.0,180.9,195.9,205.6,239.9,245.3,57.4,79.9,65.9,84.2,140.0,135.8,135.8,207.7,25.1,168.0,295.8,213.1,203.4,158.3,170.1,36.9,220.6,244.2,267.9,148.6,64.9,60.6,76.7,192.7,229.2,238.9,106.8,101.4,52.0,45.5,233.5,242.1,241.0,315.1,270.0,141.1,228.1,266.8,301.2,184.1,228.1,77.8,234.6,36.9,99.2,93.9,309.7,318.3,176.6,164.8,107.8,171.2,166.9,140.0,47.7,100.3,132.5,119.6,265.7,91.7,187.3,100.3,251.7,252.8,77.8,41.2,60.6,43.4,201.3,185.2,206.6,227.0,243.2,275.4,218.5,34.8,74.5,233.5,68.1,111.1,106.8,97.1,127.2,304.4,55.2,41.2,191.6,34.8,42.3,282.9,194.8,184.1,55.2,239.9,318.3,288.3,282.9,72.4,218.5,166.9,166.9,244.2
BS105NB,90.6,89.6,98.2,33.7,76.7,187.3,206.6,134.7,176.6,163.7,180.9,165.8,148.6,0.0,38.0,18.7,264.6,170.1,49.8,64.9,74.5,173.3,178.7,169.0,191.6,184.1,202.3,108.9,111.1,92.8,141.1,148.6,132.5,271.1,200.2,179.8,103.5,90.6,137.9,86.4,108.9,201.3,44.5,102.5,118.6,103.5,77.8,219.5,195.9,200.2,213.1,106.8,121.8,166.9,175.5,174.4,248.5,203.4,127.2,162.6,200.2,235.6,186.2,203.4,131.5,168.0,154.0,140.0,122.9,285.0,294.7,151.9,141.1,128.2,40.2,260.3,232.4,129.3,90.6,209.9,171.2,130.4,140.0,210.9,123.9,185.2,186.2,85.3,130.4,154.0,155.1,176.6,160.5,183.0,96.0,113.2,144.3,87.4,133.6,139.0,166.9,102.5,48.8,111.1,99.2,85.3,280.7,173.3,161.5,125.0,134.7,119.6,155.1,60.6,117.5,172.3,104.6,183.0,263.6,259.3,122.9,194.8,65.9,100.3,220.6
BS234TQ,111.1,110.0,118.6,59.5,61.6,207.7,226.0,123.9,197.0,188.4,205.6,190.5,173.3,43.4,0.0,42.3,285.0,194.8,63.8,78.8,89.6,193.8,199.1,193.8,216.3,207.7,227.0,128.2,130.4,112.1,160.5,173.3,152.9,291.5,220.6,200.2,83.1,111.1,162.6,64.9,88.5,221.7,63.8,127.2,142.2,128.2,91.7,239.9,215.2,224.9,237.8,131.5,145.4,187.3,194.8,193.8,268.9,223.8,147.6,181.9,220.6,255.0,206.6,223.8,156.2,187.3,177.6,164.8,147.6,305.4,315.1,172.3,161.5,152.9,54.1,285.0,257.1,154.0,112.1,230.3,191.6,110.0,164.8,235.6,148.6,205.6,205.6,110.0,155.1,178.7,178.7,197.0,180.9,203.4,110.0,127.2,159.4,102.5,158.3,163.7,187.3,127.2,72.4,135.8,123.9,100.3,300.1,198.0,186.2,145.4,158.3,144.3,170.1,39.1,136.8,195.9,83.1,162.6,284.0,279.7,147.6,215.2,85.3,120.7,241.0
BS28HW,91.7,90.6,99.2,27.3,67.0,189.5,207.7,134.7,177.6,163.7,180.9,165.8,148.6,16.5,43.4,0.0,265.7,170.1,50.9,65.9,76.7,174.4,179.8,169.0,192.7,184.1,202.3,110.0,112.1,93.9,142.2,148.6,133.6,273.2,201.3,180.9,90.6,91.7,139.0,91.7,115.3,203.4,45.5,102.5,118.6,103.5,78.8,221.7,197.0,200.2,213.1,107.8,121.8,169.0,176.6,175.5,249.6,205.6,128.2,163.7,201.3,236.7,188.4,205.6,131.5,169.0,154.0,141.1,122.9,286.1,295.8,154.0,142.2,128.2,41.2,260.3,233.5,129.3,90.6,210.9,172.3,135.8,141.1,210.9,123.9,187.3,187.3,86.4,130.4,154.0,155.1,177.6,162.6,184.1,97.1,114.3,146.5,89.6,133.6,139.0,168.0,103.5,48.8,111.1,99.2,85.3,281.8,174.4,161.5,127.2,134.7,120.7,157.2,65.9,118.6,172.3,110.0,189.5,264.6,260.3,122.9,195.9,67.0,101.4,221.7
CA27HY,193.8,187.3,193.8,281.8,329.1,105.7,125.0,351.6,123.9,354.8,372.0,357.0,331.2,266.8,285.0,265.7,0.0,279.7,291.5,306.5,289.3,146.5,142.2,323.7,334.4,360.2,378.5,207.7,209.9,218.5,146.5,317.3,188.4,90.6,171.2,155.1,350.6,192.7,308.7,332.3,355.9,106.8,235.6,306.5,290.4,275.4,246.4,178.7,142.2,305.4,335.5,297.9,311.9,126.1,132.5,123.9,97.1,77.8,222.7,157.2,173.3,207.7,195.9,142.2,262.5,119.6,337.7,262.5,250.7,75.6,81.0,184.1,197.0,239.9,280.7,329.1,299.0,300.1,260.3,257.1,239.9,377.4,357.0,427.9,340.9,90.6,125.0,295.8,321.6,345.2,310.8,170.1,177.6,152.9,329.1,302.2,338.7,320.5,311.9,284.0,133.6,289.3,265.7,328.0,316.2,319.4,89.6,329.1,316.2,154.0,319.4,306.5,252.8,306.5,195.9,354.8,350.6,430.0,111.1,114.3,281.8,145.4,210.9,185.2,132.5
CB20QQ,122.9,119.6,112.1,170.1,193.8,213.1,180.9,159.4,201.3,131.5,142.2,127.2,79.9,171.2,193.8,170.1,279.7,0.0,201.3,216.3,215.2,199.1,204.5,58.4,71.3,107.8,127.2,98.2,94.9,106.8,165.8,65.9,127.2,232.4,148.6,140.0,188.4,129.3,64.9,242.1,264.6,227.0,161.5,94.9,72.4,84.2,172.3,164.8,181.9,45.5,75.6,86.4,215.2,192.7,201.3,199.1,274.3,229.2,91.7,187.3,226.0,260.3,119.6,171.2,61.6,192.7,86.4,47.7,61.6,245.3,255.0,127.2,114.3,72.4,191.6,105.7,78.8,76.7,107.8,64.9,56.3,286.1,146.5,411.8,143.3,210.9,212.0,99.2,96.0,115.3,59.5,151.9,144.3,154.0,247.4,264.6,296.9,239.9,78.8,38.0,192.7,78.8,131.5,135.8,127.2,156.2,241.0,76.7,64.9,150.8,87.4,86.4,242.1,216.3,142.2,275.4,260.3,338.7,612.6,219.5,65.9,164.8,136.8,126.1,180.9
CF144XW,116.4,115.3,123.9,65.9,107.8,213.1,232.4,165.8,202.3,194.8,212.0,197.0,179.8,50.9,63.8,50.9,290.4,201.3,0.0,29.4,38.0,199.1,204.5,200.2,222.7,214.2,233.5,134.7,136.8,118.6,166.9,179.8,158.3,296.9,226.0,205.6,129.3,116.4,169.0,111.1,134.7,227.0,70.2,133.6,148.6,134.7,71.3,245.3,221.7,231.3,244.2,137.9,151.9,192.7,201.3,200.2,274.3,229.2,152.9,164.8,226.0,217.4,212.0,229.2,162.6,193.8,184.1,171.2,154.0,310.8,320.5,177.6,166.9,159.4,26.2,291.5,263.6,160.5,118.6,235.6,197.0,156.2,171.2,242.1,155.1,210.9,212.0,116.4,161.5,185.2,185.2,202.3,186.2,208.8,60.6,76.7,108.9,52.0,164.8,170.1,192.7,133.6,78.8,142.2,130.4,116.4,306.5,204.5,192.7,150.8,165.8,150.8,135.8,85.3,143.3,202.3,130.4,208.8,289.3,285.0,154.0,220.6,90.6,126.1,246.4
CF311RQ,132.5,131.5,140.0,82.1,123.9,229.2,247.4,181.9,218.5,210.9,227.0,213.1,195.9,67.0,79.9,67.0,306.5,217.4,28.4,0.0,48.8,215.2,220.6,216.3,238.9,230.3,248.5,149.7,151.9,134.7,181.9,195.9,174.4,313.0,242.1,221.7,145.4,132.5,185.2,127.2,150.8,243.2,86.4,149.7,164.8,150.8,87.4,261.4,236.7,246.4,259.3,154.0,168.0,208.8,217.4,215.2,290.4,245.3,169.0,180.9,242.1,227.0,228.1,245.3,178.7,208.8,200.2,187.3,169.0,326.9,336.6,193.8,183.0,175.5,42.3,307.6,279.7,176.6,134.7,251.7,213.1,171.2,187.3,258.2,171.2,227.0,228.1,132.5,177.6,200.2,201.3,218.5,202.3,224.9,41.2,58.4,90.6,33.7,179.8,186.2,208.8,149.7,94.9,158.3,145.4,132.5,321.6,220.6,207.7,166.9,180.9,166.9,121.8,101.4,158.3,218.5,145.4,224.9,305.4,301.2,170.1,236.7,106.8,142.2,262.5
CF479DT,115.3,114.3,122.9,91.7,133.6,212.0,230.3,190.5,201.3,219.5,236.7,221.7,204.5,75.6,88.5,75.6,289.3,216.3,38.0,48.8,0.0,158.3,173.3,224.9,248.5,239.9,258.2,132.5,135.8,123.9,164.8,204.5,157.2,295.8,224.9,204.5,154.0,115.3,194.8,136.8,159.4,226.0,82.1,158.3,174.4,159.4,58.4,244.2,219.5,241.0,268.9,163.7,177.6,191.6,200.2,198.0,273.2,228.1,151.9,142.2,181.9,191.6,210.9,228.1,187.3,191.6,209.9,187.3,172.3,309.7,319.4,176.6,165.8,164.8,43.4,302.2,274.3,186.2,139.0,234.6,195.9,180.9,197.0,267.9,180.9,209.9,210.9,142.2,187.3,209.9,210.9,201.3,185.2,207.7,49.8,65.9,98.2,41.2,189.5,194.8,191.6,159.4,104.6,166.9,155.1,142.2,304.4,230.3,217.4,149.7,190.5,176.6,111.1,111.1,141.1,228.1,155.1,233.5,288.3,284.0,179.8,219.5,89.6,125.0,245.3
CH21UL,102.5,96.0,102.5,190.5,237.8,69.2,87.4,260.3,57.4,263.6,280.7,265.7,239.9,175.5,193.8,174.4,145.4,199.1,199.1,214.2,158.3,0.0,26.2,232.4,255.0,267.9,287.2,116.4,118.6,127.2,43.4,226.0,97.1,169.0,130.4,115.3,259.3,100.3,216.3,241.0,264.6,83.1,144.3,215.2,199.1,184.1,118.6,137.9,76.7,224.9,255.0,206.6,220.6,36.9,35.9,42.3,129.3,84.2,131.5,26.2,44.5,79.9,141.1,87.4,170.1,48.8,246.4,171.2,159.4,181.9,191.6,121.8,118.6,148.6,162.6,285.0,257.1,208.8,168.0,202.3,178.7,285.0,265.7,336.6,249.6,65.9,62.7,204.5,230.3,252.8,219.5,94.9,103.5,87.4,180.9,170.1,206.6,186.2,219.5,192.7,50.9,198.0,174.4,236.7,224.9,228.1,177.6,236.7,224.9,61.6,228.1,215.2,126.1,215.2,63.8,263.6,259.3,338.7,160.5,156.2,190.5,92.8,119.6,84.2,117.5
CH495PE,108.9,101.4,108.9,195.9,243.2,63.8,91.7,265.7,61.6,270.0,286.1,271.1,246.4,180.9,199.1,180.9,140.0,204.5,205.6,220.6,173.3,27.3,0.0,237.8,261.4,274.3,292.6,121.8,123.9,132.5,54.1,231.3,103.5,172.3,133.6,119.6,264.6,106.8,222.7,246.4,270.0,77.8,150.8,221.7,204.5,189.5,132.5,141.1,81.0,230.3,260.3,212.0,227.0,35.9,20.8,27.3,123.9,79.9,136.8,40.2,50.9,85.3,147.6,91.7,176.6,53.1,251.7,176.6,165.8,186.2,195.9,127.2,125.0,155.1,195.9,290.4,263.6,214.2,174.4,208.8,184.1,291.5,272.2,342.0,255.0,61.6,48.8,210.9,235.6,259.3,224.9,100.3,108.9,92.8,194.8,185.2,220.6,201.3,226.0,199.1,57.4,203.4,180.9,242.1,230.3,233.5,181.9,243.2,230.3,68.1,233.5,220.6,130.4,220.6,75.6,268.9,265.7,344.1,164.8,160.5,195.9,97.1,125.0,99.2,121.8
