from_postcode,B152TH,B714HJ,B95SS,BA13NG,BA214AT,BB23HH,BD96RJ,BH77DW,BL97TD,BN112DH,BN212UD,BN25BE,BR68ND,BS105NB,BS234TQ,BS28HW,CA27HY,CB20QQ,CF144XW,CF311RQ,CF479DT,CH21UL,CH495PE,CM17ET,CO45JL,CT13NG,CT94AN,CV107DJ,CV22DX,CV345BW,CW14QJ,DA28DA,DE223NE,DH15TW,DN157BH,DN25LT,DT12JY,DY12HQ,E11BB,EX25DW,EX314JB,FY38NR,GL13NN,GU167UJ,HA13UJ,HP112TT,HR12ER,HU32JZ,HX30PW,IP332QZ,IP45PD,KT160PZ,KT187EG,L355DR,L78XP,L97AL,LA144LF,LA14RP,LE15WW,LL137TD,LL185UJ,LL572PW,LN25QY,LS13EX,LU40DZ,M68HD,ME169QQ,MK429DJ,MK65LD,NE14LP,NE236NZ,NG174JL,NG72UH,NN15BD,NP448YN,NR316LA,NR47UY,NW12BU,OX39DU,PE304ET,PE39GZ,PL68DH,PO196SE,PO305TG,PO63LY,PR29HT,PR86PN,RG15AN,RH15RH,RH164EX,RM70AG,S102JF,S445BL,S752EP,SA148QF,SA312AF,SA612PZ,SA66NL,SE59RW,SG14AB,SK27JE,SL24HL,SN36BB,SO166YD,SO225DG,SP28BJ,SR47TP,SS00RY,SS165NL,ST46QG,SW170QT,SW66SX,SY231ER,TA15DA,TF16TF,TN240LZ,TQ27AA,TR13LQ,TS198PE,TS43BW,WD180HB,WF14DG,WR51DD,WV100QP,YO318HE
CM17ET,157.2,154.0,146.5,171.2,193.8,247.4,222.7,159.4,236.7,110.0,119.6,105.7,58.4,172.3,193.8,170.1,324.8,58.4,201.3,216.3,227.0,233.5,238.9,0.0,41.2,86.4,104.6,132.5,129.3,135.8,200.2,43.4,161.5,274.3,190.5,181.9,188.4,163.7,55.2,242.1,265.7,261.4,159.4,94.9,68.1,84.2,206.6,206.6,223.8,62.7,61.6,85.3,78.8,227.0,235.6,233.5,308.7,263.6,133.6,221.7,260.3,294.7,161.5,213.1,71.3,227.0,63.8,89.6,87.4,287.2,296.9,170.1,158.3,101.4,191.6,123.9,117.5,65.9,108.9,111.1,98.2,286.1,125.0,220.6,133.6,245.3,246.4,99.2,73.5,92.8,36.9,193.8,178.7,195.9,247.4,264.6,296.9,239.9,69.2,68.1,227.0,78.8,132.5,135.8,127.2,157.2,282.9,38.0,34.8,185.2,77.8,82.1,276.4,216.3,176.6,81.0,260.3,338.7,265.7,261.4,65.9,206.6,171.2,160.5,222.7
CO45JL,177.6,174.4,168.0,191.6,214.2,268.9,234.6,180.9,255.0,130.4,141.1,126.1,78.8,192.7,215.2,191.6,333.4,70.2,222.7,237.8,247.4,255.0,260.3,39.1,0.0,106.8,126.1,154.0,149.7,156.2,221.7,64.9,183.0,286.1,202.3,193.8,208.8,184.1,76.7,263.6,286.1,282.9,180.9,116.4,89.6,105.7,227.0,218.5,235.6,52.0,32.6,105.7,99.2,248.5,256.0,255.0,329.1,285.0,145.4,243.2,280.7,316.2,173.3,224.9,91.7,248.5,84.2,101.4,108.9,300.1,308.7,180.9,168.0,122.9,213.1,94.9,79.9,87.4,129.3,104.6,110.0,307.6,145.4,241.0,154.0,266.8,266.8,119.6,94.9,114.3,58.4,205.6,199.1,207.7,268.9,286.1,317.3,260.3,89.6,89.6,247.4,100.3,152.9,157.2,147.6,177.6,294.7,54.1,52.0,206.6,99.2,103.5,297.9,236.7,198.0,102.5,281.8,360.2,278.6,273.2,86.4,218.5,191.6,180.9,234.6
CT13NG,191.6,188.4,180.9,181.9,195.9,282.9,265.7,161.5,271.1,108.9,99.2,104.6,64.9,183.0,205.6,180.9,359.1,108.9,213.1,228.1,237.8,267.9,273.2,85.3,108.9,0.0,36.9,168.0,163.7,168.0,235.6,49.8,195.9,323.7,241.0,232.4,190.5,198.0,74.5,252.8,276.4,296.9,180.9,97.1,103.5,108.9,224.9,257.1,266.8,134.7,129.3,84.2,77.8,262.5,270.0,268.9,343.0,299.0,169.0,257.1,294.7,330.1,212.0,256.0,105.7,262.5,41.2,127.2,122.9,337.7,347.3,204.5,193.8,136.8,202.3,195.9,168.0,85.3,132.5,160.5,148.6,296.9,123.9,219.5,132.5,280.7,280.7,110.0,73.5,91.7,71.3,229.2,213.1,235.6,259.3,275.4,307.6,250.7,76.7,103.5,261.4,99.2,143.3,137.9,129.3,158.3,332.3,83.1,69.2,220.6,89.6,89.6,310.8,227.0,212.0,30.5,271.1,350.6,316.2,311.9,100.3,247.4,199.1,194.8,272.2
CT94AN,209.9,205.6,199.1,199.1,213.1,300.1,282.9,179.8,289.3,126.1,121.8,121.8,82.1,200.2,222.7,199.1,377.4,126.1,230.3,245.3,255.0,286.1,291.5,103.5,126.1,35.9,0.0,185.2,181.9,186.2,252.8,68.1,214.2,340.9,258.2,249.6,207.7,215.2,91.7,271.1,293.6,314.0,199.1,114.3,120.7,126.1,242.1,274.3,285.0,152.9,146.5,102.5,94.9,279.7,287.2,286.1,361.3,316.2,186.2,274.3,313.0,347.3,229.2,273.2,122.9,279.7,58.4,145.4,140.0,354.8,364.5,221.7,210.9,154.0,220.6,213.1,185.2,102.5,150.8,178.7,165.8,315.1,141.1,236.7,149.7,297.9,297.9,127.2,90.6,110.0,88.5,246.4,230.3,252.8,276.4,293.6,324.8,267.9,93.9,120.7,279.7,117.5,160.5,156.2,146.5,176.6,350.6,100.3,87.4,237.8,107.8,107.8,329.1,245.3,229.2,55.2,289.3,367.7,333.4,329.1,118.6,264.6,216.3,212.0,290.4
CV107DJ,40.2,36.9,29.4,125.0,172.3,130.4,127.2,170.1,119.6,166.9,183.0,169.0,140.0,110.0,128.2,110.0,207.7,98.2,134.7,149.7,132.5,116.4,121.8,131.5,155.1,168.0,186.2,0.0,17.6,30.5,84.2,125.0,57.4,185.2,113.2,92.8,193.8,46.6,116.4,175.5,199.1,144.3,78.8,118.6,98.2,93.9,89.6,133.6,128.2,123.9,154.0,110.0,123.9,110.0,118.6,117.5,191.6,146.5,30.5,105.7,143.3,178.7,89.6,117.5,70.2,111.1,145.4,70.2,59.5,199.1,207.7,65.9,54.1,48.8,123.9,184.1,157.2,107.8,78.8,117.5,77.8,220.6,175.5,246.4,159.4,128.2,129.3,114.3,133.6,156.2,118.6,90.6,74.5,96.0,172.3,189.5,220.6,163.7,119.6,92.8,110.0,103.5,108.9,146.5,134.7,156.2,193.8,136.8,123.9,68.1,127.2,114.3,159.4,149.7,60.6,162.6,194.8,273.2,177.6,172.3,89.6,107.8,54.1,43.4,133.6
CV22DX,42.3,38.0,31.6,126.1,174.4,132.5,127.2,162.6,121.8,162.6,179.8,164.8,135.8,111.1,129.3,111.1,209.9,94.9,135.8,150.8,134.7,118.6,123.9,128.2,150.8,163.7,183.0,17.6,0.0,23.0,85.3,121.8,58.4,185.2,114.3,93.9,191.6,47.7,112.1,177.6,200.2,146.5,81.0,114.3,94.9,86.4,91.7,133.6,129.3,119.6,150.8,105.7,119.6,112.1,119.6,118.6,193.8,148.6,30.5,106.8,145.4,179.8,89.6,117.5,65.9,112.1,141.1,67.0,55.2,199.1,208.8,65.9,55.2,44.5,126.1,180.9,152.9,103.5,71.3,113.2,74.5,221.7,169.0,238.9,151.9,130.4,130.4,106.8,129.3,152.9,115.3,90.6,74.5,97.1,173.3,190.5,222.7,165.8,115.3,88.5,111.1,99.2,93.9,139.0,127.2,149.7,194.8,132.5,120.7,70.2,122.9,110.0,161.5,151.9,61.6,159.4,195.9,274.3,177.6,173.3,86.4,108.9,55.2,44.5,134.7
CV345BW,41.2,46.6,39.1,108.9,156.2,141.1,140.0,147.6,129.3,150.8,166.9,152.9,134.7,93.9,112.1,93.9,217.4,107.8,119.6,134.7,125.0,127.2,132.5,134.7,157.2,170.1,189.5,30.5,24.1,0.0,93.9,128.2,69.2,198.0,126.1,105.7,175.5,48.8,114.3,159.4,183.0,155.1,63.8,102.5,93.9,70.2,82.1,146.5,141.1,132.5,163.7,93.9,107.8,120.7,128.2,127.2,201.3,157.2,43.4,115.3,152.9,188.4,102.5,130.4,72.4,120.7,140.0,73.5,61.6,212.0,220.6,78.8,67.0,50.9,110.0,193.8,165.8,104.6,55.2,126.1,87.4,204.5,152.9,223.8,136.8,139.0,139.0,91.7,117.5,140.0,121.8,103.5,87.4,108.9,163.7,180.9,213.1,156.2,115.3,94.9,119.6,84.2,85.3,123.9,111.1,133.6,206.6,139.0,127.2,78.8,115.3,102.5,170.1,133.6,70.2,158.3,178.7,257.1,190.5,185.2,91.7,120.7,45.5,53.1,146.5
CW14QJ,70.2,63.8,70.2,157.2,205.6,70.2,88.5,227.0,58.4,231.3,247.4,232.4,207.7,142.2,160.5,142.2,146.5,165.8,166.9,181.9,165.8,43.4,54.1,200.2,222.7,235.6,253.9,83.1,85.3,94.9,0.0,192.7,64.9,170.1,131.5,106.8,226.0,68.1,184.1,208.8,231.3,84.2,112.1,183.0,165.8,150.8,121.8,139.0,77.8,191.6,222.7,173.3,188.4,49.8,57.4,56.3,130.4,86.4,98.2,43.4,72.4,107.8,132.5,88.5,137.9,49.8,213.1,137.9,127.2,183.0,192.7,89.6,86.4,116.4,157.2,252.8,224.9,175.5,135.8,185.2,146.5,252.8,233.5,304.4,217.4,68.1,68.1,172.3,197.0,220.6,187.3,91.7,98.2,85.3,204.5,185.2,253.9,197.0,187.3,160.5,48.8,164.8,142.2,203.4,191.6,195.9,178.7,204.5,191.6,29.4,194.8,181.9,141.1,183.0,55.2,231.3,227.0,305.4,161.5,157.2,157.2,93.9,86.4,60.6,118.6
DA28DA,149.7,146.5,139.0,149.7,163.7,241.0,223.8,130.4,229.2,76.7,87.4,72.4,25.1,150.8,173.3,148.6,317.3,67.0,180.9,195.9,205.6,226.0,231.3,43.4,67.0,50.9,69.2,126.1,121.8,128.2,193.8,0.0,154.0,281.8,199.1,189.5,158.3,156.2,33.7,220.6,244.2,255.0,148.6,64.9,61.6,76.7,192.7,215.2,224.9,92.8,87.4,52.0,45.5,220.6,228.1,227.0,301.2,257.1,127.2,215.2,252.8,288.3,170.1,214.2,63.8,220.6,30.5,85.3,81.0,295.8,305.4,162.6,151.9,94.9,171.2,154.0,126.1,44.5,100.3,118.6,106.8,265.7,91.7,187.3,100.3,238.9,238.9,77.8,41.2,60.6,29.4,187.3,171.2,193.8,227.0,243.2,275.4,218.5,35.9,61.6,219.5,68.1,111.1,106.8,97.1,127.2,290.4,41.2,27.3,178.7,46.6,49.8,268.9,194.8,170.1,45.5,239.9,318.3,274.3,270.0,58.4,205.6,163.7,152.9,230.3
DE223NE,60.6,54.1,48.8,148.6,197.0,112.1,93.9,201.3,100.3,195.9,213.1,198.0,169.0,133.6,151.9,133.6,188.4,128.2,158.3,173.3,157.2,97.1,102.5,161.5,184.1,197.0,216.3,57.4,59.5,68.1,64.9,155.1,0.0,151.9,81.0,60.6,217.4,60.6,145.4,200.2,223.8,126.1,103.5,147.6,127.2,123.9,114.3,100.3,96.0,152.9,184.1,139.0,152.9,91.7,99.2,98.2,172.3,127.2,47.7,91.7,123.9,159.4,77.8,84.2,99.2,91.7,174.4,100.3,88.5,165.8,175.5,32.6,28.4,77.8,148.6,214.2,186.2,136.8,108.9,120.7,93.9,244.2,205.6,277.5,190.5,108.9,110.0,145.4,162.6,186.2,148.6,57.4,41.2,63.8,197.0,213.1,245.3,188.4,148.6,121.8,90.6,132.5,133.6,177.6,165.8,187.3,161.5,165.8,152.9,46.6,156.2,143.3,164.8,174.4,64.9,192.7,218.5,296.9,144.3,140.0,118.6,75.6,78.8,53.1,101.4
DH15TW,200.2,195.9,189.5,288.3,335.5,128.2,102.5,333.4,130.4,322.6,338.7,324.8,294.7,273.2,291.5,273.2,90.6,231.3,297.9,313.0,296.9,169.0,174.4,273.2,286.1,323.7,342.0,185.2,186.2,198.0,169.0,280.7,151.9,0.0,122.9,106.8,361.3,205.6,272.2,338.7,362.4,137.9,243.2,274.3,253.9,257.1,252.8,130.4,111.1,257.1,287.2,265.7,279.7,151.9,159.4,158.3,128.2,108.9,174.4,179.8,195.9,230.3,147.6,93.9,226.0,134.7,301.2,226.0,215.2,27.3,36.9,135.8,148.6,204.5,288.3,280.7,250.7,263.6,242.1,208.8,191.6,383.8,331.2,409.6,322.6,121.8,170.1,277.5,289.3,311.9,274.3,121.8,129.3,104.6,335.5,352.7,383.8,326.9,275.4,236.7,140.0,259.3,273.2,309.7,297.9,319.4,25.1,292.6,279.7,175.5,282.9,270.0,274.3,313.0,209.9,318.3,358.1,436.5,32.6,44.5,245.3,97.1,217.4,197.0,84.2
DN157BH,127.2,123.9,116.4,216.3,263.6,112.1,70.2,261.4,90.6,250.7,266.8,251.7,213.1,201.3,219.5,200.2,170.1,149.7,224.9,239.9,223.8,129.3,134.7,191.6,204.5,241.0,260.3,113.2,114.3,126.1,129.3,199.1,79.9,121.8,0.0,31.6,289.3,133.6,200.2,266.8,290.4,132.5,170.1,202.3,181.9,184.1,180.9,42.3,71.3,175.5,205.6,193.8,207.7,112.1,119.6,118.6,178.7,134.7,101.4,140.0,156.2,190.5,44.5,60.6,154.0,94.9,219.5,145.4,143.3,135.8,145.4,63.8,76.7,132.5,215.2,184.1,154.0,191.6,169.0,112.1,110.0,311.9,259.3,336.6,250.7,116.4,130.4,205.6,216.3,239.9,192.7,54.1,56.3,53.1,263.6,279.7,311.9,255.0,203.4,154.0,100.3,186.2,200.2,237.8,224.9,247.4,131.5,209.9,198.0,117.5,210.9,198.0,236.7,241.0,136.8,236.7,285.0,364.5,114.3,110.0,173.3,54.1,145.4,125.0,63.8
DN25LT,107.8,103.5,97.1,195.9,244.2,98.2,56.3,241.0,76.7,230.3,247.4,232.4,203.4,180.9,199.1,180.9,155.1,140.0,205.6,220.6,204.5,115.3,120.7,180.9,193.8,231.3,249.6,93.9,94.9,105.7,105.7,188.4,59.5,107.8,31.6,0.0,270.0,114.3,179.8,247.4,270.0,118.6,150.8,181.9,161.5,164.8,160.5,52.0,57.4,164.8,195.9,173.3,187.3,98.2,105.7,104.6,164.8,119.6,82.1,126.1,142.2,176.6,55.2,46.6,133.6,81.0,208.8,134.7,122.9,120.7,130.4,43.4,56.3,112.1,195.9,188.4,158.3,171.2,149.7,116.4,99.2,291.5,239.9,317.3,230.3,101.4,116.4,185.2,197.0,220.6,181.9,33.7,36.9,28.4,243.2,260.3,292.6,235.6,183.0,144.3,75.6,166.9,180.9,217.4,205.6,228.1,116.4,200.2,187.3,98.2,190.5,177.6,216.3,221.7,117.5,226.0,265.7,344.1,99.2,94.9,152.9,40.2,125.0,105.7,56.3
DT12JY,176.6,175.5,184.1,87.4,31.6,274.3,292.6,47.7,262.5,122.9,157.2,141.1,157.2,98.2,83.1,90.6,350.6,187.3,130.4,145.4,155.1,260.3,265.7,186.2,208.8,192.7,210.9,198.0,191.6,175.5,227.0,157.2,218.5,361.3,289.3,268.9,0.0,176.6,155.1,73.5,113.2,288.3,130.4,103.5,135.8,130.4,158.3,309.7,281.8,217.4,230.3,116.4,130.4,253.9,261.4,260.3,334.4,290.4,206.6,248.5,286.1,321.6,265.7,293.6,148.6,253.9,162.6,170.1,165.8,375.3,383.8,242.1,230.3,177.6,120.7,277.5,249.6,146.5,137.9,237.8,209.9,117.5,99.2,170.1,83.1,272.2,272.2,112.1,139.0,145.4,172.3,266.8,250.7,272.2,176.6,193.8,224.9,168.0,150.8,156.2,252.8,127.2,107.8,67.0,74.5,55.2,369.9,187.3,174.4,212.0,143.3,136.8,235.6,63.8,203.4,180.9,91.7,170.1,353.8,348.4,140.0,284.0,151.9,186.2,309.7
DY12HQ,25.1,18.7,32.6,107.8,155.1,114.3,132.5,180.9,103.5,184.1,200.2,186.2,169.0,92.8,111.1,91.7,191.6,128.2,117.5,132.5,115.3,100.3,105.7,161.5,185.2,198.0,216.3,45.5,47.7,47.7,67.0,155.1,59.5,203.4,132.5,111.1,176.6,0.0,146.5,158.3,181.9,128.2,61.6,135.8,127.2,103.5,72.4,151.9,121.8,154.0,184.1,127.2,141.1,93.9,101.4,100.3,175.5,130.4,64.9,87.4,127.2,161.5,119.6,133.6,100.3,93.9,175.5,100.3,89.6,217.4,227.0,84.2,74.5,78.8,106.8,214.2,187.3,137.9,88.5,147.6,107.8,203.4,186.2,257.1,170.1,112.1,112.1,125.0,150.8,173.3,148.6,108.9,92.8,115.3,155.1,172.3,203.4,146.5,149.7,121.8,93.9,117.5,91.7,157.2,144.3,145.4,212.0,166.9,154.0,52.0,148.6,135.8,142.2,132.5,42.3,192.7,176.6,256.0,195.9,191.6,119.6,127.2,36.9,21.9,151.9
E11BB,140.0,136.8,130.4,137.9,160.5,231.3,214.2,127.2,220.6,97.1,106.8,91.7,36.9,139.0,161.5,137.9,307.6,64.9,169.0,184.1,193.8,217.4,222.7,55.2,77.8,74.5,92.8,116.4,112.1,115.3,184.1,33.7,145.4,272.2,201.3,180.9,155.1,146.5,0.0,209.9,232.4,245.3,130.4,61.6,35.9,55.2,171.2,213.1,216.3,90.6,98.2,53.1,45.5,210.9,218.5,217.4,291.5,247.4,117.5,205.6,244.2,278.6,168.0,204.5,54.1,210.9,50.9,75.6,71.3,286.1,295.8,152.9,142.2,85.3,159.4,151.9,123.9,16.5,79.9,117.5,104.6,253.9,112.1,188.4,102.5,229.2,229.2,65.9,55.2,79.9,30.5,177.6,161.5,184.1,215.2,232.4,263.6,206.6,19.8,56.3,209.9,47.7,99.2,103.5,93.9,123.9,281.8,56.3,42.3,169.0,28.4,30.5,260.3,183.0,160.5,69.2,228.1,306.5,264.6,260.3,43.4,195.9,145.4,143.3,221.7
EX25DW,158.3,157.2,165.8,106.8,64.9,255.0,273.2,113.2,244.2,187.3,222.7,206.6,220.6,90.6,64.9,89.6,332.3,242.1,112.1,127.2,136.8,241.0,246.4,241.0,263.6,256.0,274.3,176.6,178.7,160.5,208.8,220.6,200.2,338.7,267.9,247.4,73.5,158.3,209.9,0.0,67.0,268.9,112.1,158.3,190.5,175.5,140.0,287.2,263.6,272.2,285.0,178.7,193.8,234.6,243.2,242.1,316.2,271.1,194.8,229.2,267.9,302.2,253.9,271.1,203.4,235.6,226.0,212.0,194.8,352.7,362.4,219.5,208.8,200.2,101.4,332.3,304.4,201.3,160.5,277.5,238.9,59.5,164.8,235.6,148.6,252.8,253.9,157.2,202.3,226.0,227.0,244.2,228.1,250.7,158.3,174.4,206.6,149.7,205.6,210.9,234.6,174.4,120.7,132.5,142.2,117.5,348.4,245.3,233.5,192.7,206.6,191.6,217.4,42.3,185.2,244.2,33.7,108.9,331.2,326.9,194.8,262.5,132.5,168.0,288.3
EX314JB,180.9,179.8,188.4,130.4,91.7,278.6,296.9,154.0,266.8,223.8,259.3,242.1,244.2,114.3,87.4,113.2,354.8,264.6,134.7,149.7,159.4,264.6,270.0,264.6,287.2,278.6,296.9,199.1,201.3,183.0,231.3,244.2,223.8,362.4,290.4,270.0,113.2,180.9,233.5,67.0,0.0,292.6,134.7,185.2,213.1,199.1,162.6,310.8,286.1,294.7,307.6,202.3,216.3,258.2,265.7,264.6,338.7,294.7,218.5,252.8,290.4,325.9,277.5,294.7,226.0,258.2,248.5,235.6,217.4,376.3,384.9,243.2,231.3,223.8,125.0,355.9,328.0,224.9,183.0,301.2,261.4,90.6,200.2,271.1,184.1,276.4,276.4,180.9,226.0,248.5,249.6,267.9,251.7,273.2,180.9,198.0,229.2,172.3,228.1,234.6,257.1,198.0,143.3,169.0,169.0,143.3,371.0,268.9,256.0,216.3,229.2,215.2,239.9,64.9,207.7,266.8,85.3,112.1,354.8,349.5,218.5,285.0,156.2,190.5,310.8
FY38NR,130.4,122.9,130.4,217.4,264.6,41.2,88.5,287.2,59.5,290.4,307.6,292.6,266.8,202.3,220.6,202.3,105.7,226.0,227.0,242.1,224.9,82.1,77.8,259.3,282.9,295.8,314.0,143.3,145.4,154.0,82.1,252.8,123.9,137.9,131.5,116.4,286.1,128.2,244.2,267.9,291.5,0.0,171.2,242.1,226.0,210.9,181.9,139.0,77.8,251.7,281.8,233.5,247.4,61.6,68.1,59.5,89.6,44.5,158.3,92.8,108.9,143.3,157.2,89.6,198.0,55.2,273.2,198.0,187.3,160.5,170.1,131.5,145.4,175.5,216.3,290.4,260.3,235.6,195.9,218.5,201.3,313.0,292.6,363.4,276.4,25.1,57.4,231.3,257.1,280.7,246.4,107.8,125.0,102.5,264.6,237.8,274.3,256.0,247.4,219.5,69.2,224.9,201.3,263.6,251.7,255.0,156.2,264.6,251.7,89.6,255.0,242.1,188.4,242.1,131.5,290.4,286.1,365.6,144.3,147.6,217.4,94.9,146.5,120.7,119.6
GL13NN,61.6,60.6,69.2,61.6,108.9,158.3,176.6,133.6,147.6,162.6,179.8,165.8,147.6,46.6,64.9,46.6,235.6,161.5,72.4,87.4,82.1,144.3,149.7,157.2,179.8,183.0,201.3,78.8,82.1,63.8,111.1,148.6,103.5,242.1,171.2,150.8,130.4,61.6,130.4,112.1,135.8,172.3,0.0,101.4,108.9,86.4,52.0,190.5,165.8,187.3,201.3,106.8,120.7,137.9,146.5,144.3,219.5,174.4,98.2,132.5,171.2,205.6,157.2,174.4,114.3,137.9,152.9,114.3,96.0,256.0,265.7,122.9,112.1,102.5,61.6,248.5,220.6,120.7,62.7,180.9,142.2,157.2,140.0,210.9,123.9,156.2,157.2,85.3,130.4,152.9,144.3,147.6,131.5,154.0,118.6,134.7,166.9,110.0,132.5,127.2,137.9,102.5,45.5,110.0,98.2,99.2,250.7,161.5,149.7,96.0,133.6,119.6,148.6,86.4,87.4,171.2,131.5,209.9,234.6,230.3,111.1,165.8,35.9,71.3,191.6
GU167UJ,129.3,135.8,127.2,103.5,110.0,230.3,217.4,75.6,218.5,81.0,98.2,83.1,65.9,104.6,127.2,103.5,306.5,96.0,134.7,149.7,159.4,215.2,220.6,94.9,117.5,100.3,119.6,118.6,115.3,103.5,183.0,65.9,147.6,275.4,203.4,183.0,104.6,136.8,63.8,159.4,186.2,244.2,103.5,0.0,43.4,44.5,146.5,222.7,218.5,125.0,137.9,24.1,38.0,209.9,217.4,216.3,290.4,246.4,119.6,204.5,242.1,277.5,179.8,206.6,57.4,209.9,70.2,78.8,73.5,288.3,297.9,156.2,144.3,87.4,125.0,186.2,158.3,55.2,68.1,146.5,117.5,204.5,71.3,149.7,62.7,228.1,228.1,31.6,47.7,71.3,79.9,179.8,164.8,186.2,180.9,198.0,229.2,172.3,58.4,64.9,208.8,34.8,64.9,52.0,43.4,72.4,284.0,96.0,82.1,168.0,50.9,45.5,239.9,137.9,159.4,88.5,177.6,257.1,266.8,262.5,48.8,198.0,123.9,142.2,223.8
HA13UJ,118.6,118.6,111.1,118.6,141.1,213.1,195.9,107.8,201.3,90.6,107.8,92.8,60.6,119.6,142.2,118.6,289.3,72.4,149.7,164.8,174.4,198.0,203.4,68.1,90.6,103.5,121.8,98.2,93.9,93.9,165.8,61.6,126.1,253.9,183.0,161.5,135.8,127.2,34.8,190.5,213.1,227.0,110.0,43.4,0.0,34.8,149.7,202.3,197.0,102.5,111.1,33.7,45.5,191.6,200.2,199.1,273.2,228.1,99.2,187.3,224.9,260.3,158.3,186.2,35.9,192.7,79.9,57.4,52.0,267.9,277.5,134.7,123.9,67.0,140.0,163.7,135.8,25.1,58.4,122.9,94.9,234.6,100.3,177.6,90.6,209.9,210.9,46.6,57.4,81.0,48.8,159.4,143.3,165.8,195.9,213.1,244.2,187.3,38.0,41.2,191.6,27.3,79.9,84.2,74.5,104.6,262.5,72.4,59.5,149.7,39.1,26.2,241.0,164.8,142.2,98.2,208.8,287.2,246.4,241.0,19.8,176.6,123.9,125.0,202.3
HP112TT,96.0,102.5,94.9,103.5,134.7,197.0,198.0,101.4,186.2,90.6,107.8,92.8,75.6,104.6,127.2,103.5,274.3,83.1,134.7,149.7,159.4,183.0,188.4,82.1,104.6,110.0,129.3,92.8,86.4,70.2,149.7,75.6,125.0,256.0,185.2,164.8,130.4,103.5,54.1,175.5,198.0,210.9,86.4,42.3,33.7,0.0,127.2,204.5,199.1,112.1,125.0,33.7,47.7,176.6,184.1,183.0,258.2,213.1,101.4,171.2,209.9,244.2,160.5,188.4,44.5,176.6,79.9,65.9,60.6,270.0,279.7,136.8,126.1,72.4,125.0,173.3,145.4,45.5,34.8,133.6,104.6,219.5,100.3,177.6,90.6,194.8,194.8,31.6,57.4,81.0,69.2,161.5,145.4,168.0,180.9,198.0,229.2,172.3,55.2,52.0,176.6,25.1,64.9,77.8,68.1,98.2,264.6,86.4,74.5,134.7,56.3,42.3,226.0,149.7,126.1,98.2,193.8,272.2,248.5,244.2,35.9,179.8,101.4,110.0,204.5
HR12ER,72.4,71.3,79.9,93.9,135.8,169.0,187.3,177.6,158.3,206.6,223.8,208.8,191.6,78.8,91.7,78.8,246.4,172.3,72.4,87.4,59.5,118.6,132.5,198.0,220.6,226.0,245.3,89.6,91.7,81.0,121.8,191.6,114.3,252.8,181.9,161.5,157.2,72.4,171.2,139.0,162.6,183.0,52.0,145.4,149.7,127.2,0.0,201.3,176.6,198.0,228.1,149.7,163.7,148.6,141.1,155.1,230.3,185.2,108.9,101.4,141.1,176.6,168.0,185.2,144.3,148.6,195.9,144.3,128.2,266.8,276.4,133.6,122.9,121.8,52.0,258.2,231.3,161.5,103.5,191.6,151.9,184.1,183.0,253.9,166.9,166.9,166.9,128.2,173.3,197.0,185.2,158.3,142.2,164.8,98.2,115.3,146.5,89.6,176.6,165.8,147.6,145.4,89.6,154.0,142.2,143.3,261.4,202.3,190.5,106.8,176.6,162.6,105.7,113.2,82.1,214.2,158.3,236.7,245.3,241.0,151.9,176.6,45.5,81.0,201.3
HU32JZ,147.6,144.3,136.8,236.7,284.0,120.7,77.8,280.7,98.2,271.1,287.2,272.2,229.2,220.6,239.9,220.6,177.6,165.8,245.3,260.3,244.2,136.8,142.2,206.6,219.5,257.1,275.4,133.6,134.7,146.5,137.9,214.2,100.3,130.4,42.3,50.9,309.7,154.0,214.2,287.2,310.8,140.0,190.5,222.7,202.3,204.5,201.3,0.0,79.9,190.5,221.7,213.1,228.1,119.6,128.2,127.2,187.3,142.2,121.8,148.6,163.7,199.1,60.6,68.1,174.4,102.5,234.6,160.5,162.6,144.3,152.9,84.2,97.1,151.9,235.6,200.2,169.0,212.0,189.5,127.2,125.0,331.2,279.7,357.0,271.1,123.9,139.0,226.0,236.7,260.3,207.7,74.5,76.7,73.5,284.0,300.1,332.3,275.4,223.8,170.1,107.8,206.6,220.6,257.1,245.3,267.9,139.0,226.0,213.1,137.9,231.3,218.5,243.2,261.4,157.2,251.7,305.4,384.9,122.9,117.5,193.8,62.7,165.8,145.4,61.6
