property,postcode,transfer_unit_postcode,transfer_unit_travel_time,selected,selected,BNG_E,BNG_N,Latitude,Longitude,BNG_E_mt,BNG_N_mt,Latitude_mt,Longitude_mt,unit_coords,transfer_coords,line_coords,geometry
152,PL68DH,PL68DH,0.0,1.0,1.0,249930.0,59564.0,50.41672,-4.1136845,249930.0,59564.0,50.41672,-4.1136845,"[249930.0, 59564.0]","[249930.0, 59564.0]","[[249930.0, 59564.0], [249930.0, 59564.0]]","LINESTRING (249930 59564, 249930 59564)"
153,PO196SE,SO166YD,47.7,0.0,,486835.0,105616.0,50.843562,-0.7680267,439793.0,114993.0,50.933019,-1.435104,"[486835.0, 105616.0]","[439793.0, 114993.0]","[[486835.0, 105616.0], [439793.0, 114993.0]]","LINESTRING (486835 105616, 439793 114993)"
154,PO196SE,,,,0.0,486835.0,105616.0,50.843562,-0.7680267,,,,,"[486835.0, 105616.0]","[nan, nan]","[[486835.0, 105616.0], [nan, nan]]","LINESTRING (486835 105616, NaN NaN)"
155,PO305TG,SO166YD,117.5,0.0,,449458.0,90396.0,50.711101,-1.3008871,439793.0,114993.0,50.933019,-1.435104,"[449458.0, 90396.0]","[439793.0, 114993.0]","[[449458.0, 90396.0], [439793.0, 114993.0]]","LINESTRING (449458 90396, 439793 114993)"
156,PO305TG,,,,0.0,449458.0,90396.0,50.711101,-1.3008871,,,,,"[449458.0, 90396.0]","[nan, nan]","[[449458.0, 90396.0], [nan, nan]]","LINESTRING (449458 90396, NaN NaN)"
157,PO63LY,SO166YD,31.6,0.0,,465473.0,105974.0,50.849589,-1.0713238,439793.0,114993.0,50.933019,-1.435104,"[465473.0, 105974.0]","[439793.0, 114993.0]","[[465473.0, 105974.0], [439793.0, 114993.0]]","LINESTRING (465473 105974, 439793 114993)"
158,PO63LY,,,,0.0,465473.0,105974.0,50.849589,-1.0713238,,,,,"[465473.0, 105974.0]","[nan, nan]","[[465473.0, 105974.0], [nan, nan]]","LINESTRING (465473 105974, NaN NaN)"
159,PR29HT,PR29HT,0.0,0.0,0.0,353495.0,433014.0,53.79135,-2.7074034,353495.0,433014.0,53.79135,-2.7074034,"[353495.0, 433014.0]","[353495.0, 433014.0]","[[353495.0, 433014.0], [353495.0, 433014.0]]","LINESTRING (353495 433014, 353495 433014)"
160,PR86PN,,,0.0,0.0,335399.0,415683.0,53.633665,-2.9784316,,,,,"[335399.0, 415683.0]","[nan, nan]","[[335399.0, 415683.0], [nan, nan]]","LINESTRING (335399 415683, NaN NaN)"
161,RG15AN,SW66SX,49.8,0.0,,472458.0,173005.0,51.451402,-0.95864504,524227.0,176487.0,51.473716,-0.21272176,"[472458.0, 173005.0]","[524227.0, 176487.0]","[[472458.0, 173005.0], [524227.0, 176487.0]]","LINESTRING (472458 173005, 524227 176487)"
162,RG15AN,,,,0.0,472458.0,173005.0,51.451402,-0.95864504,,,,,"[472458.0, 173005.0]","[nan, nan]","[[472458.0, 173005.0], [nan, nan]]","LINESTRING (472458 173005, NaN NaN)"
163,RH15RH,SW170QT,38.0,0.0,,528510.0,148207.0,51.218607,-0.16128808,526925.0,171325.0,51.426727,-0.17574589,"[528510.0, 148207.0]","[526925.0, 171325.0]","[[528510.0, 148207.0], [526925.0, 171325.0]]","LINESTRING (528510 148207, 526925 171325)"
164,RH15RH,,,,0.0,528510.0,148207.0,51.218607,-0.16128808,,,,,"[528510.0, 148207.0]","[nan, nan]","[[528510.0, 148207.0], [nan, nan]]","LINESTRING (528510 148207, NaN NaN)"
165,RH164EX,,,0.0,0.0,534069.0,123045.0,50.991198,-0.091075995,,,,,"[534069.0, 123045.0]","[nan, nan]","[[534069.0, 123045.0], [nan, nan]]","LINESTRING (534069 123045, NaN NaN)"
166,RM70AG,RM70AG,0.0,0.0,0.0,551110.0,187777.0,51.568622,0.17891397,551110.0,187777.0,51.568622,0.17891397,"[551110.0, 187777.0]","[551110.0, 187777.0]","[[551110.0, 187777.0], [551110.0, 187777.0]]","LINESTRING (551110 187777, 551110 187777)"
167,S102JF,S102JF,0.0,0.0,0.0,433794.0,386966.0,53.378472,-1.4934651,433794.0,386966.0,53.378472,-1.4934651,"[433794.0, 386966.0]","[433794.0, 386966.0]","[[433794.0, 386966.0], [433794.0, 386966.0]]","LINESTRING (433794 386966, 433794 386966)"
168,S445BL,S102JF,27.3,0.0,,440139.0,371189.0,53.236223,-1.4000812,433794.0,386966.0,53.378472,-1.4934651,"[440139.0, 371189.0]","[433794.0, 386966.0]","[[440139.0, 371189.0], [433794.0, 386966.0]]","LINESTRING (440139 371189, 433794 386966)"
169,S445BL,,,,0.0,440139.0,371189.0,53.236223,-1.4000812,,,,,"[440139.0, 371189.0]","[nan, nan]","[[440139.0, 371189.0], [nan, nan]]","LINESTRING (440139 371189, NaN NaN)"
170,S602UD,,,0.0,0.0,443795.0,391046.0,53.414411,-1.3425728,,,,,"[443795.0, 391046.0]","[nan, nan]","[[443795.0, 391046.0], [nan, nan]]","LINESTRING (443795 391046, NaN NaN)"
171,S752EP,,,0.0,0.0,433247.0,406971.0,53.558314,-1.4995781,,,,,"[433247.0, 406971.0]","[nan, nan]","[[433247.0, 406971.0], [nan, nan]]","LINESTRING (433247 406971, NaN NaN)"
172,SA148QF,CF144XW,59.5,0.0,,252459.0,201367.0,51.691612,-4.1359742,317551.0,179319.0,51.506764,-3.1893604,"[252459.0, 201367.0]","[317551.0, 179319.0]","[[252459.0, 201367.0], [317551.0, 179319.0]]","LINESTRING (252459 201367, 317551 179319)"
173,SA148QF,,,,0.0,252459.0,201367.0,51.691612,-4.1359742,,,,,"[252459.0, 201367.0]","[nan, nan]","[[252459.0, 201367.0], [nan, nan]]","LINESTRING (252459 201367, NaN NaN)"
174,SA312AF,CF144XW,76.7,0.0,,242792.0,221240.0,51.867524,-4.2847226,317551.0,179319.0,51.506764,-3.1893604,"[242792.0, 221240.0]","[317551.0, 179319.0]","[[242792.0, 221240.0], [317551.0, 179319.0]]","LINESTRING (242792 221240, 317551 179319)"
175,SA312AF,,,,0.0,242792.0,221240.0,51.867524,-4.2847226,,,,,"[242792.0, 221240.0]","[nan, nan]","[[242792.0, 221240.0], [nan, nan]]","LINESTRING (242792 221240, NaN NaN)"
176,SA612PZ,CF144XW,107.8,0.0,,195710.0,216835.0,51.812716,-4.9650724,317551.0,179319.0,51.506764,-3.1893604,"[195710.0, 216835.0]","[317551.0, 179319.0]","[[195710.0, 216835.0], [317551.0, 179319.0]]","LINESTRING (195710 216835, 317551 179319)"
177,SA612PZ,,,,0.0,195710.0,216835.0,51.812716,-4.9650724,,,,,"[195710.0, 216835.0]","[nan, nan]","[[195710.0, 216835.0], [nan, nan]]","LINESTRING (195710 216835, NaN NaN)"
178,SA66NL,CF144XW,52.0,0.0,,266311.0,200206.0,51.684652,-3.9352525,317551.0,179319.0,51.506764,-3.1893604,"[266311.0, 200206.0]","[317551.0, 179319.0]","[[266311.0, 200206.0], [317551.0, 179319.0]]","LINESTRING (266311 200206, 317551 179319)"
179,SA66NL,,,,0.0,266311.0,200206.0,51.684652,-3.9352525,,,,,"[266311.0, 200206.0]","[nan, nan]","[[266311.0, 200206.0], [nan, nan]]","LINESTRING (266311 200206, NaN NaN)"
180,SE59RW,SE59RW,0.0,0.0,0.0,532536.0,176228.0,51.469505,-0.093251533,532536.0,176228.0,51.469505,-0.093251533,"[532536.0, 176228.0]","[532536.0, 176228.0]","[[532536.0, 176228.0], [532536.0, 176228.0]]","LINESTRING (532536 176228, 532536 176228)"
181,SG14AB,CB20QQ,39.1,0.0,,522999.0,226630.0,51.924611,-0.21272607,546375.0,254988.0,52.173741,0.13911444,"[522999.0, 226630.0]","[546375.0, 254988.0]","[[522999.0, 226630.0], [546375.0, 254988.0]]","LINESTRING (522999 226630, 546375 254988)"
182,SG14AB,,,,0.0,522999.0,226630.0,51.924611,-0.21272607,,,,,"[522999.0, 226630.0]","[nan, nan]","[[522999.0, 226630.0], [nan, nan]]","LINESTRING (522999 226630, NaN NaN)"
183,SK27JE,M68HD,27.3,0.0,,391316.0,387446.0,53.383787,-2.1320199,378686.0,398995.0,53.487232,-2.3226835,"[391316.0, 387446.0]","[378686.0, 398995.0]","[[391316.0, 387446.0], [378686.0, 398995.0]]","LINESTRING (391316 387446, 378686 398995)"
184,SK27JE,,,,0.0,391316.0,387446.0,53.383787,-2.1320199,,,,,"[391316.0, 387446.0]","[nan, nan]","[[391316.0, 387446.0], [nan, nan]]","LINESTRING (391316 387446, NaN NaN)"
185,SL24HL,,,0.0,0.0,498930.0,182543.0,51.533136,-0.57512489,,,,,"[498930.0, 182543.0]","[nan, nan]","[[498930.0, 182543.0], [nan, nan]]","LINESTRING (498930 182543, NaN NaN)"
186,SN36BB,BS105NB,49.8,1.0,,418983.0,182175.0,51.538161,-1.7276925,358935.0,177766.0,51.497333,-2.5929485,"[418983.0, 182175.0]","[358935.0, 177766.0]","[[418983.0, 182175.0], [358935.0, 177766.0]]","LINESTRING (418983 182175, 358935 177766)"
187,SN36BB,,,,0.0,418983.0,182175.0,51.538161,-1.7276925,,,,,"[418983.0, 182175.0]","[nan, nan]","[[418983.0, 182175.0], [nan, nan]]","LINESTRING (418983 182175, NaN NaN)"
188,SO166YD,SO166YD,0.0,0.0,0.0,439793.0,114993.0,50.933019,-1.435104,439793.0,114993.0,50.933019,-1.435104,"[439793.0, 114993.0]","[439793.0, 114993.0]","[[439793.0, 114993.0], [439793.0, 114993.0]]","LINESTRING (439793 114993, 439793 114993)"
189,SO225DG,SO166YD,23.0,0.0,,446982.0,129328.0,51.061375,-1.3309587,439793.0,114993.0,50.933019,-1.435104,"[446982.0, 129328.0]","[439793.0, 114993.0]","[[446982.0, 129328.0], [439793.0, 114993.0]]","LINESTRING (446982 129328, 439793 114993)"
190,SO225DG,,,,0.0,446982.0,129328.0,51.061375,-1.3309587,,,,,"[446982.0, 129328.0]","[nan, nan]","[[446982.0, 129328.0], [nan, nan]]","LINESTRING (446982 129328, NaN NaN)"
191,SP28BJ,SO166YD,35.9,1.0,,414831.0,127199.0,51.043955,-1.7898225,439793.0,114993.0,50.933019,-1.435104,"[414831.0, 127199.0]","[439793.0, 114993.0]","[[414831.0, 127199.0], [439793.0, 114993.0]]","LINESTRING (414831 127199, 439793 114993)"
192,SP28BJ,,,,0.0,414831.0,127199.0,51.043955,-1.7898225,,,,,"[414831.0, 127199.0]","[nan, nan]","[[414831.0, 127199.0], [nan, nan]]","LINESTRING (414831 127199, NaN NaN)"
193,SR47TP,NE14LP,25.1,0.0,,437866.0,556641.0,54.903063,-1.4110182,424540.0,565083.0,54.979753,-1.6181094,"[437866.0, 556641.0]","[424540.0, 565083.0]","[[437866.0, 556641.0], [424540.0, 565083.0]]","LINESTRING (437866 556641, 424540 565083)"
194,SR47TP,,,,0.0,437866.0,556641.0,54.903063,-1.4110182,,,,,"[437866.0, 556641.0]","[nan, nan]","[[437866.0, 556641.0], [nan, nan]]","LINESTRING (437866 556641, NaN NaN)"
195,SS00RY,RM70AG,40.2,0.0,,586524.0,187310.0,51.553836,0.68909337,551110.0,187777.0,51.568622,0.17891397,"[586524.0, 187310.0]","[551110.0, 187777.0]","[[586524.0, 187310.0], [551110.0, 187777.0]]","LINESTRING (586524 187310, 551110 187777)"
196,SS00RY,,,,0.0,586524.0,187310.0,51.553836,0.68909337,,,,,"[586524.0, 187310.0]","[nan, nan]","[[586524.0, 187310.0], [nan, nan]]","LINESTRING (586524 187310, NaN NaN)"
197,SS165NL,RM70AG,27.3,0.0,,569975.0,187157.0,51.557686,0.45055726,551110.0,187777.0,51.568622,0.17891397,"[569975.0, 187157.0]","[551110.0, 187777.0]","[[569975.0, 187157.0], [551110.0, 187777.0]]","LINESTRING (569975 187157, 551110 187777)"
198,SS165NL,,,,0.0,569975.0,187157.0,51.557686,0.45055726,,,,,"[569975.0, 187157.0]","[nan, nan]","[[569975.0, 187157.0], [nan, nan]]","LINESTRING (569975 187157, NaN NaN)"
199,ST46QG,ST46QG,0.0,0.0,0.0,385678.0,345211.0,53.004021,-2.2148723,385678.0,345211.0,53.004021,-2.2148723,"[385678.0, 345211.0]","[385678.0, 345211.0]","[[385678.0, 345211.0], [385678.0, 345211.0]]","LINESTRING (385678 345211, 385678 345211)"
200,SW170QT,SW170QT,0.0,0.0,0.0,526925.0,171325.0,51.426727,-0.17574589,526925.0,171325.0,51.426727,-0.17574589,"[526925.0, 171325.0]","[526925.0, 171325.0]","[[526925.0, 171325.0], [526925.0, 171325.0]]","LINESTRING (526925 171325, 526925 171325)"
201,SW66SX,SW66SX,0.0,0.0,0.0,524227.0,176487.0,51.473716,-0.21272176,524227.0,176487.0,51.473716,-0.21272176,"[524227.0, 176487.0]","[524227.0, 176487.0]","[[524227.0, 176487.0], [524227.0, 176487.0]]","LINESTRING (524227 176487, 524227 176487)"
202,SY231ER,CF144XW,135.8,0.0,,259208.0,281805.0,52.416068,-4.0715775,317551.0,179319.0,51.506764,-3.1893604,"[259208.0, 281805.0]","[317551.0, 179319.0]","[[259208.0, 281805.0], [317551.0, 179319.0]]","LINESTRING (259208 281805, 317551 179319)"
203,SY231ER,,,,0.0,259208.0,281805.0,52.416068,-4.0715775,,,,,"[259208.0, 281805.0]","[nan, nan]","[[259208.0, 281805.0], [nan, nan]]","LINESTRING (259208 281805, NaN NaN)"
204,TA15DA,BS105NB,65.9,1.0,,321541.0,124218.0,51.01197,-3.1197783,358935.0,177766.0,51.497333,-2.5929485,"[321541.0, 124218.0]","[358935.0, 177766.0]","[[321541.0, 124218.0], [358935.0, 177766.0]]","LINESTRING (321541 124218, 358935 177766)"
205,TA15DA,,,,0.0,321541.0,124218.0,51.01197,-3.1197783,,,,,"[321541.0, 124218.0]","[nan, nan]","[[321541.0, 124218.0], [nan, nan]]","LINESTRING (321541 124218, NaN NaN)"
206,TF16TF,B152TH,46.6,0.0,,365606.0,312873.0,52.712417,-2.510547,404427.0,283926.0,52.453272,-1.9362835,"[365606.0, 312873.0]","[404427.0, 283926.0]","[[365606.0, 312873.0], [404427.0, 283926.0]]","LINESTRING (365606 312873, 404427 283926)"
207,TF16TF,,,,0.0,365606.0,312873.0,52.712417,-2.510547,,,,,"[365606.0, 312873.0]","[nan, nan]","[[365606.0, 312873.0], [nan, nan]]","LINESTRING (365606 312873, NaN NaN)"
208,TN240LZ,,,0.0,0.0,604090.0,142068.0,51.141489,0.91620878,,,,,"[604090.0, 142068.0]","[nan, nan]","[[604090.0, 142068.0], [nan, nan]]","LINESTRING (604090 142068, NaN NaN)"
209,TN24QJ,,,0.0,0.0,561472.0,141407.0,51.149149,0.30726198,,,,,"[561472.0, 141407.0]","[nan, nan]","[[561472.0, 141407.0], [nan, nan]]","LINESTRING (561472 141407, NaN NaN)"
210,TQ27AA,PL68DH,52.0,1.0,,289858.0,65877.0,50.482325,-3.5537901,249930.0,59564.0,50.41672,-4.1136845,"[289858.0, 65877.0]","[249930.0, 59564.0]","[[289858.0, 65877.0], [249930.0, 59564.0]]","LINESTRING (289858 65877, 249930 59564)"
211,TQ27AA,,,,0.0,289858.0,65877.0,50.482325,-3.5537901,,,,,"[289858.0, 65877.0]","[nan, nan]","[[289858.0, 65877.0], [nan, nan]]","LINESTRING (289858 65877, NaN NaN)"
212,TR13LQ,PL68DH,75.6,1.0,,179563.0,45467.0,50.267934,-5.0946045,249930.0,59564.0,50.41672,-4.1136845,"[179563.0, 45467.0]","[249930.0, 59564.0]","[[179563.0, 45467.0], [249930.0, 59564.0]]","LINESTRING (179563 45467, 249930 59564)"
213,TR13LQ,,,,0.0,179563.0,45467.0,50.267934,-5.0946045,,,,,"[179563.0, 45467.0]","[nan, nan]","[[179563.0, 45467.0], [nan, nan]]","LINESTRING (179563 45467, NaN NaN)"
214,TS198PE,TS43BW,21.9,0.0,,442318.0,521055.0,54.582933,-1.3467595,450919.0,517709.0,54.552075,-1.2142736,"[442318.0, 521055.0]","[450919.0, 517709.0]","[[442318.0, 521055.0], [450919.0, 517709.0]]","LINESTRING (442318 521055, 450919 517709)"
215,TS198PE,,,,0.0,442318.0,521055.0,54.582933,-1.3467595,,,,,"[442318.0, 521055.0]","[nan, nan]","[[442318.0, 521055.0], [nan, nan]]","LINESTRING (442318 521055, NaN NaN)"
216,TS43BW,TS43BW,0.0,0.0,0.0,450919.0,517709.0,54.552075,-1.2142736,450919.0,517709.0,54.552075,-1.2142736,"[450919.0, 517709.0]","[450919.0, 517709.0]","[[450919.0, 517709.0], [450919.0, 517709.0]]","LINESTRING (450919 517709, 450919 517709)"
217,WA51QG,,,0.0,0.0,359484.0,388746.0,53.393982,-2.6107326,,,,,"[359484.0, 388746.0]","[nan, nan]","[[359484.0, 388746.0], [nan, nan]]","LINESTRING (359484 388746, NaN NaN)"
218,WD180HB,NW12BU,34.8,0.0,,510485.0,195678.0,51.649051,-0.40447202,529340.0,182306.0,51.524865,-0.13701251,"[510485.0, 195678.0]","[529340.0, 182306.0]","[[510485.0, 195678.0], [529340.0, 182306.0]]","LINESTRING (510485 195678, 529340 182306)"
219,WD180HB,,,,0.0,510485.0,195678.0,51.649051,-0.40447202,,,,,"[510485.0, 195678.0]","[nan, nan]","[[510485.0, 195678.0], [nan, nan]]","LINESTRING (510485 195678, NaN NaN)"
220,WF14DG,LS13EX,24.1,0.0,,433875.0,421914.0,53.69258,-1.4884777,429621.0,433998.0,53.801445,-1.5517436,"[433875.0, 421914.0]","[429621.0, 433998.0]","[[433875.0, 421914.0], [429621.0, 433998.0]]","LINESTRING (433875 421914, 429621 433998)"
221,WF14DG,,,,0.0,433875.0,421914.0,53.69258,-1.4884777,,,,,"[433875.0, 421914.0]","[nan, nan]","[[433875.0, 421914.0], [nan, nan]]","LINESTRING (433875 421914, NaN NaN)"
222,WR51DD,B152TH,35.9,0.0,,387714.0,254789.0,52.191202,-2.1811435,404427.0,283926.0,52.453272,-1.9362835,"[387714.0, 254789.0]","[404427.0, 283926.0]","[[387714.0, 254789.0], [404427.0, 283926.0]]","LINESTRING (387714 254789, 404427 283926)"
223,WR51DD,,,,0.0,387714.0,254789.0,52.191202,-2.1811435,,,,,"[387714.0, 254789.0]","[nan, nan]","[[387714.0, 254789.0], [nan, nan]]","LINESTRING (387714 254789, NaN NaN)"
224,WS29PS,,,0.0,0.0,400152.0,298264.0,52.582186,-1.9991893,,,,,"[400152.0, 298264.0]","[nan, nan]","[[400152.0, 298264.0], [nan, nan]]","LINESTRING (400152 298264, NaN NaN)"
225,WV100QP,B152TH,29.4,0.0,,393569.0,300055.0,52.598247,-2.0963786,404427.0,283926.0,52.453272,-1.9362835,"[393569.0, 300055.0]","[404427.0, 283926.0]","[[393569.0, 300055.0], [404427.0, 283926.0]]","LINESTRING (393569 300055, 404427 283926)"
226,WV100QP,,,,0.0,393569.0,300055.0,52.598247,-2.0963786,,,,,"[393569.0, 300055.0]","[nan, nan]","[[393569.0, 300055.0], [nan, nan]]","LINESTRING (393569 300055, NaN NaN)"
227,YO318HE,LS13EX,44.5,0.0,,460208.0,453108.0,53.970547,-1.0836401,429621.0,433998.0,53.801445,-1.5517436,"[460208.0, 453108.0]","[429621.0, 433998.0]","[[460208.0, 453108.0], [429621.0, 433998.0]]","LINESTRING (460208 453108, 429621 433998)"
228,YO318HE,,,,0.0,460208.0,453108.0,53.970547,-1.0836401,,,,,"[460208.0, 453108.0]","[nan, nan]","[[460208.0, 453108.0], [nan, nan]]","LINESTRING (460208 453108, NaN NaN)"
